base 0 w0=07de0c0037d8c518 lg=26 count=2 first_seed=790ed17ab9fad863
base 1 w0=bb6402f88a1c4658 lg=26 count=3 first_seed=c0ecdeea15299a36
base 2 w0=d4722c1886a8e561 lg=26 count=0 first_seed=0000000000000000
base 3 w0=b415bdcfc435897b lg=26 count=0 first_seed=0000000000000000
base 4 w0=201c2a128af6811d lg=26 count=0 first_seed=0000000000000000
base 5 w0=7ee3b5cbbb01a367 lg=26 count=0 first_seed=0000000000000000
base 6 w0=8cd699e0d901ef06 lg=26 count=0 first_seed=0000000000000000
base 7 w0=97730a586c6e7bab lg=26 count=0 first_seed=0000000000000000
base 8 w0=47f5b0a2ce51d939 lg=26 count=1 first_seed=5c30d24af984df5a
base 9 w0=467b681e6706a87d lg=26 count=1 first_seed=6f310029a4516980
