8 [[1, 133, 133], [2, 103, 111], [3, 73, 97], [4, 59, 91], [5, 45, 91], [6, 31, 91], [7, 17, 91]]
16 [[1, 341, 341], [2, 263, 287], [3, 185, 257], [4, 171, 251], [5, 157, 251], [6, 143, 251], [7, 129, 251], [8, 115, 251]]
24 [[1, 549, 549], [2, 423, 463], [3, 297, 417], [4, 283, 411], [5, 269, 411], [6, 255, 411], [7, 241, 411], [8, 227, 411]]
32 [[1, 757, 757], [2, 583, 639], [3, 409, 577], [4, 395, 571], [5, 381, 571], [6, 367, 571], [7, 353, 571], [8, 339, 571]]
40 [[1, 965, 965], [2, 743, 815], [3, 521, 737], [4, 507, 731], [5, 493, 731], [6, 479, 731], [7, 465, 731], [8, 451, 731]]
48 [[1, 1173, 1173], [2, 903, 991], [3, 633, 897], [4, 619, 891], [5, 605, 891], [6, 591, 891], [7, 577, 891], [8, 563, 891]]
56 [[1, 1381, 1381], [2, 1063, 1167], [3, 745, 1057], [4, 731, 1051], [5, 717, 1051], [6, 703, 1051], [7, 689, 1051], [8, 675, 1051]]
60 [[1, 1485, 1485], [2, 1143, 1255], [3, 801, 1137], [4, 787, 1131], [5, 773, 1131], [6, 759, 1131], [7, 745, 1131], [8, 731, 1131]]
61 [[1, 1511, 1511], [2, 1163, 1277], [3, 815, 1157], [4, 801, 1151], [5, 787, 1151], [6, 773, 1151], [7, 759, 1151], [8, 745, 1151]]
62 [[1, 1537, 1537], [2, 1183, 1299], [3, 829, 1177], [4, 815, 1171], [5, 801, 1171], [6, 787, 1171], [7, 773, 1171], [8, 759, 1171]]
63 [[1, 1563, 1563], [2, 1203, 1321], [3, 843, 1197], [4, 829, 1191], [5, 815, 1191], [6, 801, 1191], [7, 787, 1191], [8, 773, 1191]]
